"Date","Location","SensorValue","SensorType","Year","Month"
2020-06-01,"Sur_Pit1",28.38396,"Surface",2020,6
2020-06-01,"Bot_Pit1",24.27132,"Bottom",2020,6
2020-06-01,"Sur_Pit2",27.91492,"Surface",2020,6
2020-06-01,"Bot_Pit2",27.0862,"Bottom",2020,6
2020-06-02,"Sur_Pit1",28.725,"Surface",2020,6
2020-06-02,"Bot_Pit1",24.525,"Bottom",2020,6
2020-06-02,"Sur_Pit2",28.275,"Surface",2020,6
2020-06-02,"Bot_Pit2",27.425,"Bottom",2020,6
2020-06-03,"Sur_Pit1",28.38396,"Surface",2020,6
2020-06-03,"Bot_Pit1",24.27132,"Bottom",2020,6
2020-06-03,"Sur_Pit2",27.91492,"Surface",2020,6
2020-06-03,"Bot_Pit2",27.0862,"Bottom",2020,6
2020-06-04,"Sur_Pit1",28.725,"Surface",2020,6
2020-06-04,"Bot_Pit1",24.525,"Bottom",2020,6
2020-06-04,"Sur_Pit2",28.275,"Surface",2020,6
2020-06-04,"Bot_Pit2",27.425,"Bottom",2020,6
2020-06-05,"Sur_Pit1",29.74203,"Surface",2020,6
2020-06-05,"Bot_Pit1",25.28151,"Bottom",2020,6
2020-06-05,"Sur_Pit2",29.34881,"Surface",2020,6
2020-06-05,"Bot_Pit2",28.43535,"Bottom",2020,6
2020-06-06,"Sur_Pit1",28.38396,"Surface",2020,6
2020-06-06,"Bot_Pit1",24.27132,"Bottom",2020,6
2020-06-06,"Sur_Pit2",27.91492,"Surface",2020,6
2020-06-06,"Bot_Pit2",27.0862,"Bottom",2020,6
2020-06-07,"Sur_Pit1",28.725,"Surface",2020,6
2020-06-07,"Bot_Pit1",24.525,"Bottom",2020,6
2020-06-07,"Sur_Pit2",28.275,"Surface",2020,6
2020-06-07,"Bot_Pit2",27.425,"Bottom",2020,6
2020-06-08,"Sur_Pit1",29.40099,"Surface",2020,6
2020-06-08,"Bot_Pit1",25.02783,"Bottom",2020,6
2020-06-08,"Sur_Pit2",28.98873,"Surface",2020,6
2020-06-08,"Bot_Pit2",28.09655,"Bottom",2020,6
2020-06-09,"Sur_Pit1",30.41802,"Surface",2020,6
2020-06-09,"Bot_Pit1",25.78434,"Bottom",2020,6
2020-06-09,"Sur_Pit2",30.06254,"Surface",2020,6
2020-06-09,"Bot_Pit2",29.1069,"Bottom",2020,6
